year,dayofyear,hourmin,ws,wd
2017,156,1240,4.39,291.1
2017,156,1250,4.582,276.8
2017,156,1300,4.706,289
2017,156,1310,4.695,272.2
2017,156,1320,5.349,271.1
2017,156,1330,4.638,269.6
2017,156,1340,5.005,281.1
2017,156,1350,4.371,267.3
2017,156,1400,4.797,272
2017,156,1410,4.391,266.4
2017,156,1420,4.144,266.1
2017,156,1430,4.112,260.9
2017,156,1440,4.753,276.4
2017,156,1450,5.065,260.4
2017,156,1500,4.893,277
2017,156,1510,4.478,266
2017,156,1520,4.242,277.3
2017,156,1530,3.929,287.5
2017,156,1540,3.815,274.6
2017,156,1550,3.725,269.8
2017,156,1600,3.349,270.5
2017,156,1610,3.262,270.5
2017,156,1620,3.706,267.7
2017,156,1630,3.938,268.3
2017,156,1640,3.624,281.6
2017,156,1650,3.442,286.2
2017,156,1700,3.548,278.5
2017,156,1710,3.275,263.8
2017,156,1720,2.977,270.7
2017,156,1730,3.258,267.8
2017,156,1740,3.391,266.2
2017,156,1750,3.157,261.5
2017,156,1800,3.287,250
2017,156,1810,3.834,266.7
2017,156,1820,4.128,260.4
2017,156,1830,4.041,263.1
2017,156,1840,3.485,246.6
2017,156,1850,3.113,258.1
2017,156,1900,3.593,260.6
2017,156,1910,3.119,252.6
2017,156,1920,3.279,243.4
2017,156,1930,3.663,253.1
2017,156,1940,3.463,248.9
2017,156,1950,3.88,251.1
2017,156,2000,3.186,249
2017,156,2010,3.012,248.2
2017,156,2020,3.148,258
2017,156,2030,3.136,254.5
2017,156,2040,3.192,255.2
2017,156,2050,3.079,251.8
2017,156,2100,3.452,262
2017,156,2110,3.523,264.1
2017,156,2120,3.428,262.6
2017,156,2130,3.153,272
2017,156,2140,2.731,275.8
2017,156,2150,3.082,276.6
2017,156,2200,2.973,269.8
2017,156,2210,3.291,265.7
2017,156,2220,3.084,270.3
2017,156,2230,3.18,264.9
2017,156,2240,2.524,267.2
2017,156,2250,2.772,256.6
2017,156,2300,2.854,255.1
2017,156,2310,2.563,247.5
2017,156,2320,2.423,254.5
2017,156,2330,2.087,267.1
2017,156,2340,1.958,258.7
2017,156,2350,2.234,267.6
2017,157,0,2.688,267
2017,157,10,2.743,258.8
2017,157,20,3.063,268.8
2017,157,30,2.899,271
2017,157,40,2.593,270
2017,157,50,2.911,275.8
2017,157,100,2.405,278.7
2017,157,110,2.768,276.5
2017,157,120,2.998,273.1
2017,157,130,3.242,270.9
2017,157,140,3.2,274.1
2017,157,150,3.2,278.4
2017,157,200,3.355,282.9
2017,157,210,4.474,290
2017,157,220,4.275,295.7
2017,157,230,4.288,296.5
2017,157,240,4.249,295.6
2017,157,250,3.725,297.9
2017,157,300,3.622,294.1
2017,157,310,4.479,307.1
2017,157,320,3.584,302.8
2017,157,330,3.218,301.3
2017,157,340,3.186,299.8
2017,157,350,2.816,294.1
2017,157,400,2.893,295.9
2017,157,410,2.463,303.9
2017,157,420,2.47,292.5
2017,157,430,2.387,288
2017,157,440,1.972,298.4
2017,157,450,2.466,306.8
2017,157,500,1.83,292.9
2017,157,510,2.023,290.1
2017,157,520,1.888,291.4
2017,157,530,1.929,278.7
2017,157,540,2.339,254.7
2017,157,550,1.922,235.7
2017,157,600,2.284,262.4
2017,157,610,2.657,236
2017,157,620,3.144,261.7
2017,157,630,2.741,260.4
2017,157,640,2.984,257.7
2017,157,650,2.717,271.2
2017,157,700,3.243,290.9
2017,157,710,2.266,275.7
2017,157,720,2.348,275.7
2017,157,730,2.488,282.5
2017,157,740,2.624,286.4
2017,157,750,3.433,311.7
2017,157,800,3.548,324.9
2017,157,810,3.108,311.6
2017,157,820,2.967,311.4
2017,157,830,3.269,299.1
2017,157,840,4.595,318
2017,157,850,4.734,316.2
2017,157,900,4.65,315.6
2017,157,910,3.896,308.3
2017,157,920,4.469,319.4
2017,157,930,4.372,322.5
2017,157,940,3.645,314.3
2017,157,950,3.436,301.1
2017,157,1000,3.938,314
2017,157,1010,3.831,319.7
2017,157,1020,3.306,310.3
2017,157,1030,2.987,320.2
2017,157,1040,2.694,314.4
2017,157,1050,3.724,310
2017,157,1100,3.32,305.4
2017,157,1110,3.698,303.4
2017,157,1120,3.92,297.1
2017,157,1130,4.215,286.8
2017,157,1140,4.622,295.7
2017,157,1150,4.684,301.6
2017,157,1200,4.492,304.8
2017,157,1210,4.47,287.1
2017,157,1220,4.835,299.1
2017,157,1230,4.757,303
2017,157,1240,4.426,290.8
2017,157,1250,4.939,295.5
2017,157,1300,4.716,292.4
2017,157,1310,4.501,298.1
2017,157,1320,4.956,295.9
2017,157,1330,4.906,296.3
2017,157,1340,5.023,290
2017,157,1350,4.698,290.8
2017,157,1400,4.73,299.6
2017,157,1410,4.654,298.8
2017,157,1420,5.036,291
2017,157,1430,4.63,297.7
2017,157,1440,4.291,291.3
2017,157,1450,4.511,291.1
2017,157,1500,4.53,287.5
2017,157,1510,4.384,284.5
2017,157,1520,4.834,283
2017,157,1530,4.603,282.3
2017,157,1540,4.707,285.2
2017,157,1550,4.513,274.3
2017,157,1600,5.016,270.6
2017,157,1610,4.629,273.6
2017,157,1620,4.495,276.5
2017,157,1630,4.769,272.1
2017,157,1640,4.411,261
2017,157,1650,4.232,263.7
2017,157,1700,4.025,268.1
2017,157,1710,4.257,265.8
2017,157,1720,3.588,257.5
2017,157,1730,4.171,262.3
2017,157,1740,3.739,266.2
2017,157,1750,4.1,262
2017,157,1800,3.838,270.3
2017,157,1810,3.712,274.9
2017,157,1820,3.596,260
2017,157,1830,3.142,262.6
2017,157,1840,3.083,260.3
2017,157,1850,3.053,262.1
2017,157,1900,2.663,253.5
2017,157,1910,3.05,248.3
