Case,Description,Pycno Depth,M2 Period,M2 Amp,M2 Phase,M2 Phase After Spinup Correction& U-Eta Lag,K1 Period,K1 Amp,K1 Phase,K1 Phase After Spinup Correction& U-Eta Lag,Wind Period,Wind Speed,Wind Phase,Wind Phase After Spinup Correction
12201,NewSet-K1-Wind-Lag-severe,12.5,12.4,0,0,90,23.9,0.022,0,36,24,6,120,72
12202,NewSet-K1-Wind-Lag-severe,12.5,12.4,0,0,90,23.9,0.022,0,36,24,6,150,102
12203,NewSet-K1-Wind-Lag-severe,12.5,12.4,0,0,90,23.9,0.022,0,36,24,6,180,132
12204,NewSet-K1-Wind-Lag-severe,12.5,12.4,0,0,90,23.9,0.022,0,36,24,6,210,162
12205,NewSet-K1-Wind-Lag-severe,12.5,12.4,0,0,90,23.9,0.022,0,36,24,6,240,192
12206,NewSet-K1-Wind-Lag-severe,12.5,12.4,0,0,90,23.9,0.022,0,36,24,6,270,222
12207,NewSet-K1-Wind-Lag-severe,12.5,12.4,0,0,90,23.9,0.022,0,36,24,6,300,252
12208,NewSet-K1-Wind-Lag-severe,12.5,12.4,0,0,90,23.9,0.022,0,36,24,6,330,282
12209,NewSet-M2K1-Wind-Lag-Mild,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,0,312
12210,NewSet-M2K1-Wind-Lag-Mild,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,30,342
12211,NewSet-M2K1-Wind-Lag-Mild,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,60,12
12212,NewSet-M2K1-Wind-Lag-Mild,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,90,42
12213,NewSet-M2K1-Wind-Lag-Mild,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,120,72
12214,NewSet-M2K1-Wind-Lag-Mild,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,150,102
12215,NewSet-M2K1-Wind-Lag-Mild,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,180,132
12216,NewSet-M2K1-Wind-Lag-Mild,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,210,162
12217,NewSet-M2K1-Wind-Lag-Mild,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,240,192
12218,NewSet-M2K1-Wind-Lag-Mild,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,270,222
12219,NewSet-M2K1-Wind-Lag-Mild,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,300,252
12220,NewSet-M2K1-Wind-Lag-Mild,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,330,282
12221,NewSet-M2K1-Wind-Lag-Severe,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,0,312
12222,NewSet-M2K1-Wind-Lag-Severe,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,30,342
12223,NewSet-M2K1-Wind-Lag-Severe,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,60,12
12224,NewSet-M2K1-Wind-Lag-Severe,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,90,42
12225,NewSet-M2K1-Wind-Lag-Severe,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,120,72
12226,NewSet-M2K1-Wind-Lag-Severe,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,150,102
12227,NewSet-M2K1-Wind-Lag-Severe,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,180,132
